treeid,spnum,spname,spcode,site,aspect,sitequal,timbersale,dominance,baselinestandBA,baselineinddbh,tension,year,month,rain,temp,growth,prevmeasdbh,olddbh,oldBA,newdbh,newBA,mardbh,marba
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2016,jul,2.74,87.13793103,3.5,33,33,855.2978775,36.5,1046.345819,3.5,191.0479419
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2016,jul,2.74,87.13793103,2,20.8,20.8,339.7943744,22.8,408.2810364,2,68.486662
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2016,aug,NA,NA,NA,36.5,36.5,1046.345819,NA,NA,NA,NA
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2016,aug,6.49,86.26315789,1,22.8,22.8,408.2810364,23.8,444.8805599,1,36.5995235
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2016,sep,2.3,80.92592593,0,36.5,36.5,1046.345819,36.5,1046.345819,0,0
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2016,sep,2.3,80.92592593,0,23.8,23.8,444.8805599,23.8,444.8805599,0,0
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2016,oct,2.91,65.5625,0,36.5,36.5,1046.345819,36.5,1046.345819,0,0
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2016,oct,2.91,65.5625,1,23.8,23.8,444.8805599,24.8,483.0508784,1,38.1703185
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2017,may,3.87,67.66666667,0,36.5,36.5,1046.345819,36.5,1046.345819,0,0
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2017,may,3.87,67.66666667,1,24.8,24.8,483.0508784,25.8,522.7919919,1,39.7411135
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2017,jun,6,77.39473684,4,36.5,36.5,1046.345819,40.5,1288.248249,4,241.90243
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2017,jun,6,77.39473684,4,25.8,25.8,522.7919919,29.8,697.4643959,4,174.672404
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2017,jul,7.9,84,5,40.5,40.5,1288.248249,45.5,1625.969174,5,337.720925
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2017,jul,7.9,84,3,29.8,29.8,697.4643959,32.8,844.9620464,3,147.4976505
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2017,aug,8.43,79.35135135,3,45.5,45.5,1625.969174,48.5,1847.451269,3,221.482095
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2017,aug,8.43,79.35135135,2,32.8,32.8,844.9620464,34.8,951.1477884,2,106.185742
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2017,sep,3.07,76.53571429,0,48.5,48.5,1847.451269,48.5,1847.451269,0,0
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2017,sep,3.07,76.53571429,0,34.8,34.8,951.1477884,34.8,951.1477884,0,0
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2017,oct,5.06,69.20512821,0,48.5,48.5,1847.451269,48.5,1847.451269,0,0
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2017,oct,5.06,69.20512821,0.5,34.8,34.8,951.1477884,35.3,978.6759708,0.5,27.52818238
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2015,may,NA,NA,NA,10.3,10.3,83.32282078,NA,NA,NA,NA
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2015,may,NA,NA,NA,12.2,12.2,116.8985639,NA,NA,NA,NA
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2015,may,NA,NA,NA,16.5,16.5,213.8244694,NA,NA,NA,NA
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2015,may,NA,NA,NA,13.6,13.6,145.2671216,NA,NA,NA,NA
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2015,jun,NA,NA,NA,10.3,10.3,83.32282078,NA,NA,NA,NA
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2015,jun,NA,NA,NA,12.2,12.2,116.8985639,NA,NA,NA,NA
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2015,jun,11.87,77.65625,0,16.5,16.5,213.8244694,16.5,213.8244694,0,0
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2015,jun,11.87,77.65625,0,13.6,13.6,145.2671216,13.6,145.2671216,0,0
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2015,jul,8.85,78.09,1,10.3,11.3,100.2874068,12.3,118.8227878,1,18.535381
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2015,jul,8.85,78.09,0,12.2,12.2,116.8985639,12.2,116.8985639,0,0
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2015,jul,NA,NA,NA,16.5,16.5,213.8244694,NA,NA,NA,NA
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2015,jul,NA,NA,NA,13.6,13.6,145.2671216,NA,NA,NA,NA
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2015,aug,6.85,83.70212766,0,11.3,11.3,100.2874068,11.3,100.2874068,0,0
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2015,aug,6.85,83.70212766,1,12.2,12.2,116.8985639,13.2,136.8476604,1,19.9490965
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2015,aug,NA,NA,NA,16.5,16.5,213.8244694,NA,NA,NA,NA
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2015,aug,NA,NA,NA,13.6,13.6,145.2671216,NA,NA,NA,NA
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2015,sep,NA,NA,NA,11.3,11.3,100.2874068,NA,NA,NA,NA
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2015,sep,NA,NA,NA,13.2,13.2,136.8476604,NA,NA,NA,NA
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2015,sep,4.736666667,82.17582418,0,16.5,16.5,213.8244694,16.5,213.8244694,0,0
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2015,sep,NA,NA,NA,13.6,13.6,145.2671216,NA,NA,NA,NA
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2015,oct,4.765,72.72727273,0.5,11.3,11.8,109.3587479,12.3,118.8227878,0.5,9.464039875
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2015,oct,4.765,72.72727273,0,13.2,13.2,136.8476604,13.2,136.8476604,0,0
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2015,oct,7.32,67.88372093,0,16.5,16.5,213.8244694,16.5,213.8244694,0,0
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2015,oct,NA,NA,NA,13.6,13.6,145.2671216,NA,NA,NA,NA
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2016,may,3.24,62.07142857,0,11.8,11.8,109.3587479,11.8,109.3587479,0,0
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2016,may,3.24,62.07142857,1,13.2,13.2,136.8476604,14.2,158.3675519,1,21.5198915
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2016,may,3.24,62.07142857,0,16.5,16.5,213.8244694,16.5,213.8244694,0,0
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2016,may,3.24,62.07142857,0,13.6,13.6,145.2671216,13.6,145.2671216,0,0
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2016,jun,3.08,81.83783784,2,11.8,11.8,109.3587479,13.8,149.5710999,2,40.212352
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2016,jun,3.08,81.83783784,2,14.2,14.2,158.3675519,16.2,206.1197199,2,47.752168
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2016,jun,3.08,81.83783784,0,16.5,16.5,213.8244694,16.5,213.8244694,0,0
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2016,jun,3.08,81.83783784,1,13.6,13.6,145.2671216,14.6,167.4153311,1,22.1482095
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2016,jul,2.74,87.13793103,2,13.8,13.8,149.5710999,15.8,196.0666319,2,46.495532
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2016,jul,2.74,87.13793103,2,16.2,16.2,206.1197199,18.2,260.1550679,2,54.035348
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2016,jul,2.74,87.13793103,1,16.5,16.5,213.8244694,17.5,240.5279844,1,26.703515
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2016,jul,2.74,87.13793103,2,14.6,14.6,167.4153311,16.6,216.4241351,2,49.008804
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2016,aug,NA,NA,NA,13.8,13.8,149.5710999,NA,NA,NA,NA
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2016,aug,5.79,86.25806452,1,18.2,18.2,260.1550679,19.2,289.5289344,1,29.3738665
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2016,aug,6.49,86.26315789,1,17.5,17.5,240.5279844,18.5,268.8022944,1,28.27431
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2016,aug,6.49,86.26315789,1,16.6,16.6,216.4241351,17.6,243.2847296,1,26.8605945
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2016,sep,3.06,82.20588235,0,13.8,13.8,149.5710999,13.8,149.5710999,0,0
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2016,sep,3.06,82.20588235,0,47.5738665,47.5738665,1777.568778,47.5738665,1777.568778,0,0
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2016,sep,2.3,80.92592593,0,18.5,18.5,268.8022944,18.5,268.8022944,0,0
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2016,sep,2.3,80.92592593,0,17.6,17.6,243.2847296,17.6,243.2847296,0,0
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2016,oct,2.91,65.5625,0,13.8,13.8,149.5710999,13.8,149.5710999,0,0
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2016,oct,2.91,65.5625,0,47.5738665,47.5738665,1777.568778,47.5738665,1777.568778,0,0
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2016,oct,2.91,65.5625,0,18.5,18.5,268.8022944,18.5,268.8022944,0,0
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2016,oct,2.91,65.5625,0,17.6,17.6,243.2847296,17.6,243.2847296,0,0
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2017,may,3.87,67.66666667,3,13.8,13.8,149.5710999,16.8,221.6705904,3,72.0994905
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2017,may,3.87,67.66666667,0,47.5738665,47.5738665,1777.568778,47.5738665,1777.568778,0,0
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2017,may,3.87,67.66666667,0,18.5,18.5,268.8022944,18.5,268.8022944,0,0
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2017,may,3.87,67.66666667,2,17.6,17.6,243.2847296,19.6,301.7183036,2,58.433574
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2017,jun,6,77.39473684,5,16.8,16.8,221.6705904,21.8,373.2523079,5,151.5817175
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2017,jun,6,77.39473684,4,47.5738665,47.5738665,1777.568778,51.5738665,2089.050305,4,311.4815265
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2017,jun,6,77.41666667,0,18.5,18.5,268.8022944,18.5,268.8022944,0,0
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2017,jun,6,77.41666667,2,19.6,19.6,301.7183036,21.6,366.4350576,2,64.716754
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2017,jul,7.9,84,4,21.8,21.8,373.2523079,25.8,522.7919919,4,149.539684
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2017,jul,7.9,84,0,51.5738665,51.5738665,2089.050305,51.5738665,2089.050305,0,0
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2017,jul,7.98,83.5,4,18.5,18.5,268.8022944,22.5,397.6074844,4,128.80519
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2017,jul,7.98,83.5,1.5,21.6,21.6,366.4350576,23.1,419.09596,1.5,52.66090237
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2017,aug,8.43,79.44444444,0,25.8,25.8,522.7919919,25.8,522.7919919,0,0
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2017,aug,8.43,79.44444444,0,51.5738665,51.5738665,2089.050305,51.5738665,2089.050305,0,0
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2017,aug,8.43,79.44444444,0,22.5,22.5,397.6074844,22.5,397.6074844,0,0
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2017,aug,8.43,79.44444444,1,23.1,23.1,419.09596,24.1,456.166722,1,37.070762
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2017,sep,3.32,76.06896552,0,25.8,25.8,522.7919919,25.8,522.7919919,0,0
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2017,sep,3.32,76.06896552,0,51.5738665,51.5738665,2089.050305,51.5738665,2089.050305,0,0
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2017,sep,3.32,76.06896552,0,22.5,22.5,397.6074844,22.5,397.6074844,0,0
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2017,sep,3.32,76.06896552,1,24.1,24.1,456.166722,25.1,494.808279,1,38.641557
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2017,oct,5.06,69.20512821,0,25.8,25.8,522.7919919,25.8,522.7919919,0,0
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2017,oct,5.06,69.20512821,0,51.5738665,51.5738665,2089.050305,51.5738665,2089.050305,0,0
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2017,oct,5.57,68.52380952,1,22.5,22.5,397.6074844,23.5,433.7357694,1,36.128285
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2017,oct,5.57,68.52380952,0.5,25.1,25.1,494.808279,25.6,514.7181056,0.5,19.90982663
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2015,may,NA,NA,NA,9.6,9.6,72.3822336,NA,NA,NA,NA
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2015,may,NA,NA,NA,8,8,50.26544,NA,NA,NA,NA
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2015,jun,NA,NA,NA,9.6,9.6,72.3822336,NA,NA,NA,NA
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2015,jun,NA,NA,NA,8,8,50.26544,NA,NA,NA,NA
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2015,jul,NA,NA,NA,9.6,9.6,72.3822336,NA,NA,NA,NA
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2015,jul,NA,NA,NA,8,8,50.26544,NA,NA,NA,NA
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2015,aug,NA,NA,NA,9.6,9.6,72.3822336,NA,NA,NA,NA
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2015,aug,NA,NA,NA,8,8,50.26544,NA,NA,NA,NA
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2015,sep,NA,NA,NA,9.6,9.6,72.3822336,NA,NA,NA,NA
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2015,sep,NA,NA,NA,8,8,50.26544,NA,NA,NA,NA
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2015,oct,NA,NA,NA,9.6,9.6,72.3822336,NA,NA,NA,NA
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2015,oct,NA,NA,NA,8,8,50.26544,NA,NA,NA,NA
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2016,may,NA,NA,NA,9.6,9.6,72.3822336,NA,NA,NA,NA
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2016,may,NA,NA,NA,8,8,50.26544,NA,NA,NA,NA
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2016,jun,NA,NA,NA,9.6,9.6,72.3822336,NA,NA,NA,NA
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2016,jun,NA,NA,NA,8,8,50.26544,NA,NA,NA,NA
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2016,jul,NA,NA,NA,9.6,9.6,72.3822336,NA,NA,NA,NA
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2016,jul,NA,NA,NA,8,8,50.26544,NA,NA,NA,NA
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2016,aug,NA,NA,NA,9.6,9.6,72.3822336,NA,NA,NA,NA
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2016,aug,NA,NA,NA,8,8,50.26544,NA,NA,NA,NA
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2016,sep,NA,NA,NA,9.6,9.6,72.3822336,NA,NA,NA,NA
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2016,sep,NA,NA,NA,8,8,50.26544,NA,NA,NA,NA
