"","treeid","spnum","spname","spcode","site","aspect","sitequal","timbersale","dominance","baselineBA","baselinedbh","tension","jun15grow","jun15rain","jun15temp","jul15grow","jul15rain","jul15temp","aug15grow","aug15rain","aug15temp","sep15grow","sep15rain","sep15temp","oct15grow","oct15rain","oct15temp","tot15grow","tot15rain","mean15temp","may16grow","may16rain","may16temp","jun16grow","jun16rain","jun16temp","jul16grow","jul16rain","jul16temp","aug16grow","aug16rain","aug16temp","sep16grow","sep16rain","sep16temp","oct16grow","oct16rain","oct16temp","tot16grow","tot16rain","mean16temp","may17grow","may17rain","may17temp","jun17grow","jun17rain","jun17temp","jul17grow","jul17rain","jul17temp","aug17grow","aug17rain","aug17temp","sep17grow","sep17rain","sep17temp","oct17grow","oct17rain","oct17temp","tot17grow","tot17rain","mean17temp","maygrow","jungrow","julgrow","auggrow","sepgrow","octgrow","mayrain","junrain","julrain","augrain","seprain","octrain","maytemp","juntemp","jultemp","augtemp","septemp","octtemp","maygrowr","jungrowr","julgrowr","auggrowr","sepgrowr","octgrowr","sqrtmaygrow","sqrtjungrow","sqrtjulgrow","sqrtauggrow","sqrtsepgrow","sqrtoctgrow"
"11","11","833","Red Oak","QURU","B10B","S","1","N","C",150,9.3,"lo",NA,NA,NA,1,8.85,78.09,1,4.33,83.57575758,NA,NA,NA,1,6.27,74.6375,5,33.67,77.50887574,NA,NA,NA,0,3.08,81.83783784,1,2.74,87.13793103,0,6.49,86.26315789,1,2.3,80.92592593,0,2.91,65.5625,2,19.86,77.70430108,3,3.87,67.66666667,0,6,77.39473684,0,7.9,84,NA,8.43,79.35135135,0,3.07,76.53571429,0,5.06,69.20512821,3,34.31,75.40909091,3,0,0.7,0.5,0.5,0.3,3.87,4.54,6.49666666666667,6.41666666666667,2.685,4.74666666666667,67.66666667,79.61628734,83.07597701,83.0634222733333,78.73082011,69.8017094033333,3,0,1,1,1,0,1.73205080756888,0,0.836660026534076,0.707106781186548,0.707106781186548,0.547722557505166
"12","12","409","Mockernut Hickory","CATO","B10B","S","1","N","C",110,11.6,"lo",NA,NA,NA,2,8.85,78.09,3,4.33,83.57575758,NA,NA,NA,0,6.27,74.6375,7,33.67,77.50887574,2,3.24,62.07142857,2,3.08,81.83783784,0,2.74,87.13793103,0,6.49,86.26315789,0,2.3,80.92592593,0,2.91,65.5625,4,19.86,77.70430108,0,3.87,67.66666667,0,6,77.39473684,0,7.9,84,0,8.43,79.35135135,1,3.07,76.53571429,NA,5.06,69.20512821,1,34.31,75.40909091,1,1,0.7,1,0.5,0,3.555,4.54,6.49666666666667,6.41666666666667,2.685,4.74666666666667,64.86904762,79.61628734,83.07597701,83.0634222733333,78.73082011,69.8017094033333,1,1,1,1,1,0,1,1,0.836660026534076,1,0.707106781186548,0
"13","13","802","White Oak","QUAL","B06B","N","1","Y","C",70,14.5,"lo",0,11.87,77.65625,NA,NA,NA,0,6,82.31,NA,NA,NA,0,4.765,72.72727273,0,33.17,77.59756098,0,3.24,62.07142857,0,3.08,81.83783784,2,2.74,87.13793103,3,6.49,86.26315789,0,2.3,80.92592593,0,2.91,65.5625,5,19.86,77.70430108,3,3.87,67.66666667,5,6,77.41666667,3,7.98,83.5,1,8.43,79.44444444,NA,3.32,76.06896552,0,5.57,68.52380952,12,34.82,75.17412935,1.5,1.5,2.5,1.3,0,0,3.555,6.98333333333333,5.36,6.97333333333333,2.81,4.415,64.86904762,78.9702515033333,85.318965515,82.67253411,78.497445725,68.93786075,2,2,3,1,0,0,1.22474487139159,1.22474487139159,1.58113883008419,1.14017542509914,0,0
"14","14","802","White Oak","QUAL","B06B","N","1","N","C",140,11.6,"lo",0,11.87,77.65625,NA,NA,NA,1,6,82.31,NA,NA,NA,2,4.765,72.72727273,4.5,33.17,77.59756098,0,3.24,62.07142857,1,3.08,81.83783784,1,2.74,87.13793103,0,6.49,86.26315789,0,2.3,80.92592593,0,2.91,65.5625,2,19.86,77.70430108,0,3.87,67.66666667,0,6,77.41666667,0,7.98,83.5,0,8.43,79.44444444,0,3.32,76.06896552,0,5.57,68.52380952,0,34.82,75.17412935,0,0.3,0.5,0.3,0,0.4,3.555,6.98333333333333,5.36,6.97333333333333,2.81,4.415,64.86904762,78.9702515033333,85.318965515,82.67253411,78.497445725,68.93786075,0,0,1,0,0,0,0,0.547722557505166,0.707106781186548,0.547722557505166,0,0.632455532033676
"15","15","833","Red Oak","QURU","B06B","N","1","Y","C",100,11.5,"lo",6,11.87,77.65625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.17,77.59756098,1,3.24,62.07142857,7,3.08,81.83783784,5,2.74,87.13793103,5,6.49,86.26315789,1,2.3,80.92592593,0,2.91,65.5625,19,19.86,77.70430108,7,3.87,67.66666667,12,6,77.41666667,10,7.98,83.5,3,8.43,79.44444444,0,3.32,76.06896552,0,5.57,68.52380952,32,34.82,75.17412935,4,8.3,7.5,4,0.5,0,3.555,6.98333333333333,5.36,7.46,2.81,4.24,64.86904762,78.9702515033333,85.318965515,82.853801165,78.497445725,67.04315476,4,8,8,4,1,0,2,2.88097205817759,2.73861278752583,2,0.707106781186548,0
"16","16","833","Red Oak","QURU","B06B","N","1","N","C",130,12.9,"lo",8,11.87,77.65625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.17,77.59756098,1,3.24,62.07142857,4,3.08,81.83783784,0,2.74,87.13793103,0,6.49,86.26315789,0,2.3,80.92592593,0,2.91,65.5625,5,19.86,77.70430108,4,3.87,67.66666667,8,6,77.41666667,7,7.98,83.5,0,8.43,79.44444444,NA,3.32,76.06896552,1,5.57,68.52380952,20,34.82,75.17412935,2.5,6.7,3.5,0,0,0.5,3.555,6.98333333333333,5.36,7.46,2.81,4.24,64.86904762,78.9702515033333,85.318965515,82.853801165,78.497445725,67.04315476,3,7,4,0,0,1,1.58113883008419,2.58843582110896,1.87082869338697,0,0,0.707106781186548
"17","17","832","Chestnut Oak","QUMO","B06B","N","1","Y","D",90,16.5,"lo",0,11.87,77.65625,NA,NA,NA,NA,NA,NA,0,4.736666667,82.17582418,0,7.32,67.88372093,0,33.17,77.59756098,0,3.24,62.07142857,0,3.08,81.83783784,1,2.74,87.13793103,1,6.49,86.26315789,0,2.3,80.92592593,0,2.91,65.5625,2,19.86,77.70430108,0,3.87,67.66666667,0,6,77.41666667,4,7.98,83.5,0,8.43,79.44444444,0,3.32,76.06896552,1,5.57,68.52380952,5,34.82,75.17412935,0,0,2.5,0.5,0,0.3,3.555,6.98333333333333,5.36,7.46,3.45222222233333,5.26666666666667,64.86904762,78.9702515033333,85.318965515,82.853801165,79.7235718766667,67.3233434833333,0,0,3,1,0,0,0,0,1.58113883008419,0.707106781186548,0,0.547722557505166
"18","18","129","White Pine","PIST","B06B","N","1","N","C",160,4.5,"lo",0,11.87,77.65625,NA,NA,NA,NA,NA,NA,0,4.736666667,82.17582418,0,7.32,67.88372093,0,33.17,77.59756098,0,3.24,62.07142857,0,3.08,81.83783784,0,2.74,87.13793103,0,6.49,86.26315789,0,2.3,80.92592593,0,2.91,65.5625,0,19.86,77.70430108,0,3.87,67.66666667,1,6,77.41666667,1,7.98,83.5,0,8.43,79.44444444,0,3.32,76.06896552,0,5.57,68.52380952,2,34.82,75.17412935,0,0.3,0.5,0,0,0,3.555,6.98333333333333,5.36,7.46,3.45222222233333,5.26666666666667,64.86904762,78.9702515033333,85.318965515,82.853801165,79.7235718766667,67.3233434833333,0,0,1,0,0,0,0,0.547722557505166,0.707106781186548,0,0,0
"19","19","832","Chestnut Oak","QUMO","B06B","N","1","N","C",150,13.6,"lo",0,11.87,77.65625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.17,77.59756098,0,3.24,62.07142857,1,3.08,81.83783784,2,2.74,87.13793103,1,6.49,86.26315789,0,2.3,80.92592593,0,2.91,65.5625,4,19.86,77.70430108,2,3.87,67.66666667,2,6,77.41666667,2,7.98,83.5,1,8.43,79.44444444,1,3.32,76.06896552,1,5.57,68.52380952,8,34.82,75.17412935,1,1,1.8,1,0.5,0.2,3.555,6.98333333333333,5.36,7.46,2.81,4.24,64.86904762,78.9702515033333,85.318965515,82.853801165,78.497445725,67.04315476,1,1,2,1,1,0,1,1,1.34164078649987,1,0.707106781186548,0.447213595499958
"20","20","129","White Pine","PIST","B06B","N","1","Y","C",80,8.2,"lo",7,11.87,77.65625,NA,NA,NA,NA,NA,NA,5,4.736666667,82.17582418,3,7.32,67.88372093,10,33.17,77.59756098,9,3.24,62.07142857,11,3.08,81.83783784,8,2.74,87.13793103,13,6.49,86.26315789,6,2.3,80.92592593,2,2.91,65.5625,49,19.86,77.70430108,16,3.87,67.66666667,17,6,77.41666667,12,7.98,83.5,15,8.43,79.44444444,7,3.32,76.06896552,NA,5.57,68.52380952,67,34.82,75.17412935,12.5,11.7,10,14,5.8,2.5,3.555,6.98333333333333,5.36,7.46,3.45222222233333,5.26666666666667,64.86904762,78.9702515033333,85.318965515,82.853801165,79.7235718766667,67.3233434833333,13,12,10,14,6,3,3.53553390593274,3.42052627529741,3.16227766016838,3.74165738677394,2.40831891575846,1.58113883008419
"21","21","316","Red Maple","ACRU","B06B","N","1","Y","C",70,10.9,"lo",3,11.87,77.65625,NA,NA,NA,NA,6,82.31,NA,NA,NA,NA,NA,NA,NA,33.17,77.59756098,0,3.24,62.07142857,3,3.08,81.83783784,2,2.74,87.13793103,1,6.49,86.26315789,0,2.3,80.92592593,0,2.91,65.5625,6,19.86,77.70430108,1,3.87,67.66666667,6,6,77.41666667,6,7.98,83.5,0,8.43,79.44444444,0,3.32,76.06896552,1,5.57,68.52380952,14,34.82,75.17412935,0.5,4,4,0.5,0,0.2,3.555,6.98333333333333,5.36,6.97333333333333,2.81,4.24,64.86904762,78.9702515033333,85.318965515,82.67253411,78.497445725,67.04315476,1,4,4,1,0,0,0.707106781186548,2,2,0.707106781186548,0,0.447213595499958
"22","22","316","Red Maple","ACRU","B06B","N","1","N","C",110,11.9,"lo",2,11.87,77.65625,NA,NA,NA,2,6,82.31,NA,NA,NA,0,4.765,72.72727273,5,33.17,77.59756098,0,3.24,62.07142857,3,3.08,81.83783784,1,2.74,87.13793103,0,6.49,86.26315789,0,2.3,80.92592593,0,2.91,65.5625,4,19.86,77.70430108,0,3.87,67.66666667,NA,NA,NA,0,7.98,83.5,0,8.43,79.44444444,0,3.32,76.06896552,0,5.57,68.52380952,0,34.82,75.17412935,0,2.5,0.5,0.5,0,0,3.555,7.475,5.36,6.97333333333333,2.81,4.415,64.86904762,79.74704392,85.318965515,82.67253411,78.497445725,68.93786075,0,3,1,1,0,0,0,1.58113883008419,0.707106781186548,0.707106781186548,0,0
"23","23","372","Black Birch","BELE","B10B","S","2","Y","C",70,13.5,"lo",NA,NA,NA,5,8.85,78.09,7,4.33,83.57575758,NA,NA,NA,2,6.27,74.6375,20,33.67,77.50887574,0,3.24,62.07142857,6,3.08,81.83783784,4,2.74,87.13793103,NA,NA,NA,0,2.3,80.92592593,0,2.91,65.5625,10,19.86,77.70430108,0,3.87,67.66666667,4,6,77.39473684,5,7.9,84,3,8.43,79.35135135,0,3.07,76.53571429,0,5.06,69.20512821,12,34.31,75.40909091,0,5,4.5,5,0,0.5,3.555,4.54,6.49666666666667,6.38,2.685,4.74666666666667,64.86904762,79.61628734,83.07597701,81.463554465,78.73082011,69.8017094033333,0,5,5,5,0,1,0,2.23606797749979,2.12132034355964,2.23606797749979,0,0.707106781186548
"24","24","372","Black Birch","BELE","B10B","S","2","N","C",90,10.3,"lo",NA,NA,NA,2,8.85,78.09,3,4.33,83.57575758,NA,NA,NA,1,6.27,74.6375,8,33.67,77.50887574,0,3.24,62.07142857,5,3.08,81.83783784,2,2.74,87.13793103,1,6.49,86.26315789,0,2.3,80.92592593,1,2.91,65.5625,9,19.86,77.70430108,1,3.87,67.66666667,4,6,77.39473684,3,7.9,84,2,8.43,79.35135135,0,3.07,76.53571429,1,5.06,69.20512821,11,34.31,75.40909091,0.5,4.5,2.3,2,0,0.7,3.555,4.54,6.49666666666667,6.41666666666667,2.685,4.74666666666667,64.86904762,79.61628734,83.07597701,83.0634222733333,78.73082011,69.8017094033333,1,5,2,2,0,1,0.707106781186548,2.12132034355964,1.51657508881031,1.4142135623731,0,0.836660026534076
"25","25","743","Bigtooth Aspen","POGR","C03x","N","1","N","C",150,10.8,"na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.86,77.70430108,0,3.62,67.40625,1,5.88,77.15151515,0,10.17,83.48484848,0,8.43,79.44444444,0,3.32,76.06896552,1,5.06,69.20512821,2,34.06,75.40609137,0,1,0,0,0,0.5,3.62,5.88,10.17,8.43,3.32,5.06,67.40625,77.15151515,83.48484848,79.44444444,76.06896552,69.20512821,0,1,0,0,0,1,0,1,0,0,0,0.707106781186548
"26","26","802","White Oak","QUAL","C03x","N","1","N","C",110,11.1,"na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.86,77.70430108,0,3.62,67.40625,1,5.88,77.15151515,2,10.17,83.48484848,1,8.43,79.44444444,0,3.32,76.06896552,0,5.06,69.20512821,4,34.06,75.40609137,0,0.5,2,1,0,0,3.62,5.88,10.17,8.43,3.32,5.06,67.40625,77.15151515,83.48484848,79.44444444,76.06896552,69.20512821,0,1,2,1,0,0,0,0.707106781186548,1.4142135623731,1,0,0
"27","27","129","White Pine","PIST","C03x","N","2","N","C",170,15.3,"na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.86,77.70430108,0,3.62,67.40625,1,5.88,77.15151515,0,10.17,83.48484848,0,8.43,79.44444444,0,3.32,76.06896552,0,5.06,69.20512821,1,34.06,75.40609137,0,0.5,0,0,0,0,3.62,5.88,10.17,8.43,3.32,5.06,67.40625,77.15151515,83.48484848,79.44444444,76.06896552,69.20512821,0,1,0,0,0,0,0,0.707106781186548,0,0,0,0
"28","28","261","Eastern Hemlock","TSCA","C03x","N","1","N","I",100,9.6,"na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.86,77.70430108,0,3.62,67.40625,0,5.88,77.15151515,0,10.17,83.48484848,NA,8.43,79.44444444,1,3.32,76.06896552,0,5.06,69.20512821,1,34.06,75.40609137,0,0,0,NA,1,0,3.62,5.88,10.17,8.43,3.32,5.06,67.40625,77.15151515,83.48484848,79.44444444,76.06896552,69.20512821,0,0,0,NA,1,0,0,0,0,NA,1,0
"29","29","743","Bigtooth Aspen","POGR","C03x","N","3","Y","C",70,11.9,"na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.86,77.70430108,0,3.62,67.40625,NA,NA,NA,0,10.17,83.48484848,0,8.43,79.44444444,0,3.32,76.06896552,0,5.06,69.20512821,0,34.06,75.40609137,0,NA,0,0,0,0,3.62,NA,10.17,8.43,3.32,5.06,67.40625,NA,83.48484848,79.44444444,76.06896552,69.20512821,0,NA,0,0,0,0,0,NA,0,0,0,0
"30","30","129","White Pine","PIST","C03x","N","3","Y","C",60,12.2,"na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.86,77.70430108,1,3.62,67.40625,0,5.88,77.15151515,0,10.17,83.48484848,0,8.43,79.44444444,NA,3.32,76.06896552,0,5.06,69.20512821,1,34.06,75.40609137,1,0,0,0,NA,0,3.62,5.88,10.17,8.43,3.32,5.06,67.40625,77.15151515,83.48484848,79.44444444,76.06896552,69.20512821,1,0,0,0,NA,0,1,0,0,0,NA,0
"31","31","261","Eastern Hemlock","TSCA","C03x","N","3","Y","I",70,8,"na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.86,77.70430108,5,3.62,67.40625,9,5.88,77.15151515,9,10.17,83.48484848,6,8.43,79.44444444,0,3.32,76.06896552,1,5.06,69.20512821,30,34.06,75.40609137,5,9,8.5,6,0,1,3.62,5.88,10.17,8.43,3.32,5.06,67.40625,77.15151515,83.48484848,79.44444444,76.06896552,69.20512821,5,9,9,6,0,1,2.23606797749979,3,2.91547594742265,2.44948974278318,0,1
"32","32","802","White Oak","QUAL","C03x","N","2","Y","C",140,11.7,"na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.86,77.70430108,0,3.62,67.40625,8,5.88,77.15151515,2,10.17,83.48484848,1,8.43,79.44444444,0,3.32,76.06896552,1,5.06,69.20512821,11,34.06,75.40609137,0,8,1.5,1,0,0.5,3.62,5.88,10.17,8.43,3.32,5.06,67.40625,77.15151515,83.48484848,79.44444444,76.06896552,69.20512821,0,8,2,1,0,1,0,2.82842712474619,1.22474487139159,1,0,0.707106781186548
